name|gubun|score|visitCount|blogCount
라좡|양꼬치|4.38|146|142
롤링파스타 건대지점|이탈리아음식|4.42|935|332
바나바나|떡볶이|4.21|240|636
복만루|중식당|4.46|151|248
새마을39운동포차|술집|4.37|209|53
새맛식당|한식|4.49|161|75
서울230|카페,디저트|4.75|100|88
선남sea|일식당|4.39|742|121
선명|요리주점|4.88|40|15
설빙 건대지점|빙수|4.29|2716|497
순곱이네 건대점|찌개,전골|4.53|299|403
아무술집 건대점|맥주,호프|4.12|94|23
알촌 건국대점|퓨전음식|4.42|284|66
양밍위 황먼지 미판 건대본점|중식당|4.71|96|111
에스프레소 바 시 자양점|카페|4.41|374|33
연길왕꼬치 건대점|양꼬치|4.38|338|365
오감만족|한식|4.37|188|79
온달집 건대점|육류,고기요리|4.29|238|77
이름없는파스타 건대점|스파게티,파스타전문|4.32|458|136
일광|이자카야|4.65|67|16
재즈라운지|와인|4.73|98|63
조선주막|술집|4.42|347|304
준성이네|중식당|4.86|244|33
찜집|아귀찜,해물찜|4.4|630|133
천향마라탕|중식당|4.41|205|167
초밥짓는원숭이본점|초밥,롤|4.34|521|187
춘리마라탕 구의점|중식당|4.33|622|39
춘천집|닭갈비|3.94|564|123
카페704호|카페,디저트|4.71|122|96
콩불 건대점|육류,고기요리|4.41|325|285
트리안 건대점|베이커리|4.45|329|133
포인트|카페,디저트|4.57|239|155
푸른술집할라 건대점|요리주점|4.38|37|31
푸오커스|이탈리아음식|4.49|104|53
함루 건대점|덮밥|4.37|79|53
해남닭집|치킨,닭강정|4.53|257|113
환이네갈비살 본점|육류,고기요리|4.37|302|123
