name|gubun|score|visitCount|blogCount
13-Jul|스테이크,립|4.47|186|56
EGO|카페,디저트|4.59|410|187
umoae|카페,디저트|4.74|237|210
계담다|요리주점|4.42|314|295
고시고시|퓨전음식|4.52|381|465
광명대창집 홍대점|곱창,막창,양|4.73|338|61
그동네떡볶이|종합분식|4.52|872|551
너구리베이글 합정점|베이커리|4.47|127|63
더다이닝랩|양식|4.5|2395|901
더피자보이즈 합정본점|피자|4.54|344|564
도 도넛|도넛|4.73|59|40
돼지명가|육류,고기요리|4.56|337|205
리차드하우스 연남|양식|4.42|21|12
마가렛리버|베이커리|4.43|608|613
마녀주방 홍대점|이탈리아음식|4.47|1357|1468
마레스타|양식|4.51|417|364
맛깔1987|생선회|4.46|222|196
멘타카무쇼|일본식라면|4.61|285|124
모멘트커피 2호점|카페|4.43|349|946
목로관|육류,고기요리|4.3|506|178
미티|요리주점|4.93|276|94
바스버거 연남점|햄버거|4.56|703|415
보르도|양식|4.65|92|51
블랑누아|와인|4.61|626|358
산더미불고기|육류,고기요리|4.65|872|687
소고산제일루|중식당|4.33|392|468
심야식당밤|이자카야|4.79|128|117
심플리타이 합정점|태국음식|4.43|538|397
연남어부|생선회|4.49|201|227
오맥|맥주,호프|4.47|25|15
육몽 홍대본점|돼지고기구이|4.72|1172|1081
이가산시도삭면|중식당|4.93|45|25
이리에라멘|일본식라면|4.67|197|116
이양권반상|한식|5.0|199|113
저스트단비 홍대점|크레페|4.47|20|14
젤라띠젤라띠|아이스크림|4.56|1011|1115
조용한저녁|양식|4.83|2502|345
지로우 라멘|일식당|4.47|671|725
참치가|일식당|4.27|132|264
카츠오모이 홍대점|돈가스|4.58|371|187
쿠시노주방|이자카야|4.41|372|555
타프|와인|4.65|112|170
튜토리얼|카페|4.67|147|441
팔로피자|피자|4.47|549|962
포포브레드|베이커리|4.75|147|183
합정광안리|생선회|4.47|354|652
홍대원조통골뱅이|한식|4.56|42|61
홍콩포차|요리주점|4.51|10|18
후라토식당 상수직영점|일식당|4.71|1111|328
히츠지야|일식당|4.82|834|334
