name|gubun|score|visitCount|blogCount
60년전통신촌황소곱창 건대직영점|곱창,막창,양|4.12|297|385
972Bar|바(BAR)|4.58|95|438
MouseRabbit|카페|4.36|285|462
건대 숯불부자곱창|곱창,막창,양|4.84|486|243
겐로쿠우동 건대직영점|우동,소바|4.59|458|410
김창훈호프|맥주,호프|4.35|174|76
꼼주|포장마차|4.54|165|196
뉴웨이브서울|와인|4.54|123|75
느린마을양조장 건대점|요리주점|4.64|499|862
대흥양다리바베큐 건대점|양꼬치|4.35|241|190
도도곱창 건대본점|곱창,막창,양|4.72|550|309
돕감자탕전문점|감자탕|4.41|787|745
드로잉레시피|양식|4.63|363|275
랑데자뷰 건대점|카페,디저트|4.37|484|296
래빗홀 버거컴퍼니|햄버거|4.66|201|229
레브|카페,디저트|4.54|62|24
로얄 인디안 레스토랑|인도음식|4.43|303|318
만경상회 건대본점|요리주점|4.42|1114|500
매화반점|중식당|4.12|143|742
멘쇼|일본식라면|4.47|367|274
민정식당|한식|4.35|302|213
범맥주 건대점|요리주점|4.52|122|165
부탄츄 건대점|일본식라면|4.33|412|201
삼꾸미집 건대점|육류,고기요리|4.64|44|55
새로이|요리주점|4.5|205|207
송쉐프|중식당|4.45|555|208
수퍼슬라이더스|햄버거|4.6|448|271
심마니|전통,민속주점|4.22|135|160
언리미티드|바(BAR)|4.52|201|460
열매제과점|베이커리|4.69|288|267
오포케|다이어트,샐러드|4.66|455|86
우마이도 건대점|일본식라면|4.44|593|1072
원보양꼬치|양꼬치|4.56|291|478
육성회비|요리주점|4.54|258|323
정글포차|맥주,호프|4.35|46|62
정통집 건대점|돼지고기구이|4.39|260|352
지구상사 건대점|요리주점|4.31|313|72
지속|카페,디저트|4.61|213|180
처비버디|햄버거|4.22|33|12
초라멘|일본식라면|4.67|452|200
최신족발|족발,보쌈|4.42|588|895
카페 오알피하우스|카페,디저트|4.6|35|90
캐치볼클럽|카페,디저트|4.42|332|730
태태삼겹 건대점|한식|4.12|89|54
폰버거|햄버거|4.63|234|196
플록|프랑스음식|4.87|156|140
한식당|한식|4.66|158|49
해룡마라룽샤 건대점|중식당|4.52|285|1002
후토|이자카야|4.47|147|148
흐릇|카페|4.75|74|44
