,name,gubun,score,visitCount,blogCount
0,갸우뚱,중식당,4.61,326,196
1,고물상,"맥주,호프",4.6,489,375
2,고엔,이자카야,4.56,100,70
3,깔리,인도음식,4.54,1024,1117
4,나누미떡볶이 성대본점,떡볶이,4.35,2512,1058
5,낫컴플리트,"카페,디저트",4.56,285,312
6,뎁짜이,베트남음식,4.35,1269,1511
7,도토리편백집,돼지고기구이,4.32,1095,886
8,독일주택,바(BAR),4.51,420,707
9,동화,요리주점,4.71,298,138
10,또오리,오리요리,4.52,358,427
11,리본윈도우,브런치,4.58,208,100
12,마띠에르,"카페,디저트",4.48,523,514
13,메밀향그집,한식,4.49,736,1145
14,멘야산다이메 명륜4가점,일본식라면,4.31,696,720
15,명륜손칼국수,"칼국수,만두",4.38,278,132
16,무던,아이스크림,4.6,136,206
17,미도인 대학로,양식,4.37,1089,536
18,미분당 대학로점,베트남음식,4.47,1020,370
19,버거파크,햄버거,4.51,1327,930
20,브라운 에비뉴,브런치,4.63,436,222
21,삼 원 샏,"카페,디저트",4.39,584,717
22,삼겹살 전문점 대통령,"육류,고기요리",4.37,632,581
23,서양집,이탈리아음식,4.58,679,1000
24,서화커피,"카페,디저트",4.49,232,473
25,소친친,퓨전음식,4.49,437,410
26,솔나무길된장예술,비빔밥,4.49,513,460
27,야스미,일식당,4.39,365,344
28,오이지 대학로,한식,4.51,1164,681
29,울리브루잉,"맥주,호프",5.0,59,19
30,유자유김치떡볶이 대학로점,떡볶이,4.53,507,415
31,육미안,소고기구이,4.39,486,314
32,일월일일,"카페,디저트",4.5,344,304
33,정돈 대학로본점,돈가스,4.48,3108,2651
34,쪼리375,닭요리,4.54,780,1476
35,창경궁로240,"카페,디저트",4.6,10,12
36,창화당 대학로점,"칼국수,만두",4.24,431,333
37,칠린,바(BAR),4.54,702,375
38,카페첫만남,"카페,디저트",4.32,460,164
39,카페혜화동,"카페,디저트",4.49,397,339
40,칸다소바,일식당,4.47,2134,996
41,통큰갈비 대학로점,"육류,고기요리",4.38,262,220
42,파스타마켓,"스파게티,파스타전문",4.37,937,623
43,페르시안궁전,인도음식,4.77,1307,1011
44,하이디라오 대학로점,중식당,4.68,1811,378
45,학림,카페,4.51,1700,1606
46,혜화곱창,"곱창,막창,양",4.47,494,238
47,혜화도담,한식,4.53,1026,601
48,혜화칼국수,"칼국수,만두",4.25,1411,974
49,호호식당 대학로,일식당,4.42,2261,2013
