,name,gubun,score,blogCount,visitCount
0,Bowl Room,"다이어트,샐러드",4.53,729,646
1,UPPERWEST,양식,4.45,283,324
2,김북순큰남비집 신사본점,한식,4.47,775,422
3,나따오비까 신사점,"카페,디저트",4.31,511,429
4,네기다이닝라운지,일식당,4.62,137,435
5,노모어피자,양식,4.75,1166,1048
6,닭으로가 압구정본점,닭갈비,4.45,685,602
7,당옥,"카페,디저트",4.32,363,369
8,대봉집 신사본점,"육류,고기요리",4.45,353,485
9,더 키친 일뽀르노 청담점,이탈리아음식,4.41,274,129
10,더페이머스버거 신사점,햄버거,4.45,675,620
11,더페이머스버거 압구정점,햄버거,4.69,742,242
12,더플레이트디저트,베이커리,4.44,381,115
13,디크루즈,바(BAR),4.64,45,15
14,랜디스도넛 가로수길점,도넛,4.45,2486,697
15,리마크스,브런치,4.39,114,171
16,미우,소고기구이,4.79,79,139
17,바빌리안테이블,양식,4.64,515,1728
18,사브서울,와인,4.64,51,254
19,선셋스위밍 샌드위치,샌드위치,4.33,678,512
20,스몰디쉬빅쇼,아시아음식,4.51,433,473
21,스시선수,일식당,4.42,149,517
22,스페인클럽 가로수본점,스페인음식,4.28,160,497
23,시추안하우스 압구정점,중식당,4.48,561,229
24,식물학,카페,4.43,587,1044
25,신사 모소리,"육류,고기요리",4.53,348,554
26,신사숙녀,포장마차,4.32,465,63
27,심양 청담본점,양꼬치,4.26,187,524
28,아우어베이커리 도산본점,베이커리,4.45,4109,1431
29,야사이마끼 쿠이신보,일식당,4.45,214,315
30,어물전 청 도산공원점,"해물,생선요리",4.33,24,208
31,에이커스,"다이어트,샐러드",4.11,404,263
32,오엔,이탈리아음식,4.16,336,1132
33,우돈청,"육류,고기요리",4.58,164,237
34,우시야 본점,소고기구이,4.51,88,493
35,이치에,일식당,4.46,169,690
36,잠수교집 5호점,한식,4.51,583,388
37,제이앤제이슨 X,바(BAR),4.13,21,322
38,천미미,중식당,4.39,508,395
39,청수당갤러리,"카페,디저트",4.44,1103,987
40,카페 마당,북카페,4.47,323,652
41,타코앤칠리,"멕시코,남미음식",4.96,51,168
42,텔러스 9.5,바(BAR),4.5,484,274
43,파시0914,양식,4.47,160,237
44,펠트커피 도산공원점,카페,4.4,522,497
45,플디 도산점,"카페,디저트",4.28,280,370
46,플르서라구뜨,브런치,4.33,41,13
47,플링크 압구정,베이커리,4.45,227,216
48,핀치브런치바,브런치,4.85,76,96
49,형훈 텐동,일식당,4.4,559,552
