name,gubun,score,visitCount,blogCount
daughter,브런치,4.49,548,715
감성타코 건대점,"멕시코,남미음식",4.32,1115,870
건대사시미,생선회,4.45,365,527
경성양육관,양꼬치,4.58,704,782
고기굽는놈,"육류,고기요리",4.64,816,980
고베규카츠 건대점,돈가스,3.64,182,64
고향양꼬치,양꼬치,4.38,226,1096
꾸아 건대점,베트남음식,4.68,247,189
남한강민물매운탕,"매운탕,해물탕",4.38,422,227
더 클래식 500 라구뜨,뷔페,4.56,3334,1004
도쿄빙수 건대점,빙수,4.37,436,425
라화쿵부 건대점,중식당,4.66,6714,1326
로니로티 건대점,이탈리아음식,4.47,1957,1668
릴리베이커리,베이커리,4.49,1498,502
마당족발,"족발,보쌈",4.38,315,423
마초쉐프 건대점,이탈리아음식,4.7,2012,945
매운향솥 마라탕 마라샹궈,중식당,4.47,981,1061
명봉반점,중식당,4.37,398,1129
모츠커피,카페,4.65,263,260
미분당,베트남음식,4.44,895,674
민벅 건대본점,양식,4.31,2846,1704
백소정 건대본점,일식당,4.32,1959,175
봉자마라탕,중식당,4.25,103,340
비에이치테이블,브런치,4.54,289,384
뽕사부,중식당,4.61,2212,352
서북면옥,냉면,4.26,1200,1401
성수완당 본점,한식,4.56,340,206
송림식당,기사식당,4.32,2319,1266
송화산시도삭면,"딤섬,중식만두",4.53,1050,1427
송화산시도삭면 2호점,중식당,4.44,1511,543
송화양꼬치,양꼬치,4.48,702,753
심야식당 후타리,이자카야,4.8,390,258
아오스요거트,"카페,디저트",4.5,895,459
아찌떡볶이,떡볶이,4.33,902,464
에스프레소바 투또톤토,"카페,디저트",4.8,141,71
오마카세 오사이초밥 건대본점,일식당,4.8,2320,389
오봉집 건대점,한식,4.14,374,97
오우,요리주점,4.45,53,25
오코노미야키식당하나,일식당,4.52,576,479
옥루몽 어린이대공원점,빙수,4.38,451,153
요비,이자카야,4.41,103,308
용용선생 건대점,요리주점,4.59,467,209
장미술상 건대점,요리주점,4.96,257,143
조용한주택,"스파게티,파스타전문",4.72,819,147
카페 그자체 베이커리,베이커리,4.59,878,684
카페 아르무아,"카페,디저트",4.44,672,989
카페 아르무아,"카페,디저트",4.44,672,989
쿵푸소룽샤&마라룽샤,중식당,4.64,330,658
페스타마레 건대본점,"스파게티,파스타전문",4.72,3280,1345
포비,일식당,4.45,428,631
하이디라오 건대지점,중식당,4.66,3008,436
함흥본가면옥,냉면,4.37,2465,351
호야초밥참치 본점,"초밥,롤",4.45,2469,2216
화기애애 건대본점,"육류,고기요리",4.56,608,1138
흐릇,카페,4.75,74,44
